Name,Latitude,Longitude,Floors,Floors Source,Stores,Dynamic Stores,Store Names,Stores Source,Opening year,Area,Area Source,Owner,Shape,Wikipedia Link
Aperia,1.3105,103.8642,3,https://www.capitaland.com/sg/en/lease/businesspark-industrial-logistics-listing/aperia.html,52,0.3333333333,,https://singmalls.app/en/malls/aperia-mall/directory,2014,105733,https://www.capitaland.com/content/dam/capitaland-media-library/integrateddevelopment-urbandevelopment/Singapore/Singapore/aperia/Aperia%20Factsheet.pdf,CapitaLand,,
Balestier Hill Shopping Centre,1.3259,103.8429,,,,,,,,,,,,
Beauty World Centre,1.3423,103.7764,,,,,,,,,,,,
Beauty World Plaza,1.3418,103.7762,,,,,,,,,,,,
Bedok Mall,1.3247,103.9293,4,https://map.capitaland.com/wayfind.jsp?mall=bedokmall&id=t-yale-bedokmall,194,0.3333333333,,https://singmalls.app/en/malls/bedok-mall/directory,2013,220000,https://fct.frasersproperty.com/newsroom/20140512_175650_J69U_EQ6ASZLFT5NIS5LM.3.pdf,CapitaLand,,https://en.wikipedia.org//wiki/Bedok_Mall
Bedok Point,1.3249,103.9324,5,https://www.frasersproperty.com/sg/our-portfolio/retail/bedok-point,27,39,"99 Percent Hair Studio; Hair & Beauty; 03-23; Arirang; Food & Restaurants; 01-05; Aspire Hub Education Junior; Services; 03-24; Caring Skin; Hair & Beauty; 03-25 to 03-26; Challenger; Electrical, Electronic, Camera & Telecommunication; B1-05 to B1-K15; Chaseflame E-Sports; Amusement / Entertainment; 04-05 to 04-08; Chicken Hotpot; Food & Restaurants; 02-35 to 02-36; Each-a-Cup; Food & Restaurants; 02-24; EcoRing Japan; Jewellery & Watches; B1-15; Global Art; Schools & Offices; 02-17; GYMMBOXX Silver; Sports & Leisure; 04-08 to 04-19; Happy Days; Amusement / Entertainment; 04-01 to 04-20; Harvey Norman; Electrical, Electronic, Camera & Telecommunication; B1-01 to K14; Hoshino Coffee; Food & Restaurants; 01-01; I Can Read; Schools & Offices; 02-18 to 02-19; ILDO Taekwondo Academy; Schools & Offices; 02-20 to 02-22; Jianghu Hotpot; Food & Restaurants; 03-01 to 03-07; Just Acia; Food & Restaurants; 01-06 to 01-08; JYUNKA; Hair & Beauty; 02-16; Kcuts; Hair & Beauty; 03-30; Ken@HairStage; Hair & Beauty; 03-20 to 03-21; Kids Clinic @ Bedok; Pharmacy & Healthcare; 02-23; Kousei Foot Reflexology; Services; B1-03 to B1-04; Long John Silver's; Food & Restaurants; 01-02 to 01-03; Luminous Dental Clinic; Pharmacy & Healthcare; 03-27; Matrix Math; Schools & Offices; 03-22; Musee Platinum Tokyo; Hair & Beauty; 03-17 to 03-18; Pet Lovers Centre; Services; B1-10 to B1-13; Saizeriya; Food & Restaurants; 02-07 to 02-09; Shi Li Fang Taiwan Hotpot; Food & Restaurants; 03-38 to 03-39; Starbucks; Food & Restaurants; 01-09 to 01-K2; Tenderbest Makcik Market; Food & Restaurants; 02-01 to 02-06; Teo Heng Ktv Studio; Amusement / Entertainment; 03-08 to 03-11; THE CLAW; Amusement / Entertainment; 02-27 to 02-29; Trendy Eyes; Optical; 02-15; Tuk Tuk Cha Bistro; Food & Restaurants; 02-32 to 02-34; Veera's Cafe; Food & Restaurants; 03-35 to 03-37; WHISK Baking Studio; Schools & Offices; 03-12 to 03-16; Xiang Xiang Taiwanese; Food & Restaurants; 01-04",https://singmalls.app/en/malls/bedok-point/directory,2010,82713,https://www.reitas.sg/wp-content/uploads/2019/04/FCT_Factsheet_Dec-2018.pdf,,,https://en.wikipedia.org//wiki/Bedok_Point
Bedok Town Center,1.3247,103.9316,,,,,,,,235000,https://fct.frasersproperty.com/newsroom/20140512_175650_J69U_EQ6ASZLFT5NIS5LM.3.pdf,,,
Big Box,1.3321,103.7446,,,,,,,,,,,,
Boon Lay Shopping Centre,1.3465,103.7123,,,,,,,,,,HDB,,
Broadway Plaza,1.3719,103.8460,,,,,,,,,,,,
